season_end,player,age,gp,toi,teams
2013,Valtteri Filppula,28.0,41.0,12:08:49,DET
2013,Gabriel Landeskog,20.0,36.0,11:35:44,COL
2013,Jay McClement,29.0,48.0,12:11:57,TOR
2013,Colin McDonald,28.0,45.0,08:31:49,NYI
2013,Peter Mueller,24.0,43.0,11:39:16,FLA
2013,Daniel Paille,28.0,46.0,09:43:24,BOS
2013,Mathieu Perreault,25.0,39.0,07:35:02,WSH
2013,Sami Salo,38.0,46.0,16:05:19,TBL
2013,Dennis Seidenberg,31.0,46.0,18:14:28,BOS
2013,Sheldon Souray,36.0,44.0,15:20:53,ANA
2013,Steve Sullivan,38.0,42.0,10:11:16,2TM
2013,Steve Sullivan,38.0,33.0,07:53:53,PHX
2013,Steve Sullivan,38.0,9.0,02:17:23,NJD
2013,Mikael Backlund,23.0,32.0,08:03:59,CGY
2013,Gabriel Bourque,22.0,34.0,08:58:18,NSH
2013,Daniel Brière,35.0,34.0,09:06:02,PHI
2013,Matt Calvert,23.0,42.0,09:55:32,CBJ
2013,Grant Clitsome,27.0,44.0,13:48:46,WPG
2013,Patrick Dwyer,29.0,46.0,11:49:51,CAR
2013,Jason Garrison,28.0,47.0,16:59:26,VAN
2013,Mikhail Grabovski,29.0,48.0,12:27:22,TOR
2013,Andy Greene,30.0,48.0,18:25:58,NJD
2013,Dougie Hamilton,19.0,42.0,11:59:23,BOS
2013,Adam Henrique,22.0,42.0,12:49:22,NJD
2013,Jake Muzzin,23.0,45.0,13:25:17,LAK
2013,Magnus Pääjärvi,21.0,42.0,09:53:28,EDM
2013,Tom Pyatt,25.0,43.0,09:44:01,TBL
2013,Simon Gagné,32.0,38.0,08:57:14,2TM
2013,Simon Gagné,32.0,11.0,02:31:22,LAK
2013,Simon Gagné,32.0,27.0,06:25:52,PHI
2013,Steve Bernier,27.0,47.0,10:46:50,NJD
2013,Ryan Carter,29.0,44.0,09:34:19,NJD
2013,Casey Cizikas,21.0,45.0,08:05:24,NYI
2013,Daniel Cleary,34.0,48.0,13:09:17,DET
2013,Sean Couturier,20.0,46.0,12:10:54,PHI
2013,Toby Enström,28.0,22.0,08:15:32,WPG
2013,Justin Faulk,20.0,38.0,15:12:18,CAR
2013,Mark Giordano,29.0,47.0,18:08:31,CGY
2013,Scott Gomez,33.0,39.0,08:47:49,SJS
2013,Carl Gunnarsson,26.0,37.0,13:07:27,TOR
2013,Chris Higgins,29.0,41.0,11:13:03,VAN
2013,Sergei Kostitsyn,25.0,46.0,12:49:06,NSH
2013,Andrew Shaw,21.0,48.0,12:02:28,CHI
2013,Zack Smith,24.0,48.0,12:07:06,OTT
2013,Jared Spurgeon,23.0,39.0,14:00:12,MIN
2013,Nate Thompson,28.0,45.0,10:45:11,TBL
2013,Kyle Wellwood,29.0,39.0,08:26:05,WPG
2013,Beau Bennett,21.0,26.0,05:19:52,PIT
2013,Zach Bogosian,22.0,33.0,12:43:05,WPG
2013,Dave Bolland,26.0,35.0,09:31:48,CHI
2013,T.J. Brodie,22.0,47.0,15:50:11,CGY
2013,Jason Chimera,33.0,47.0,09:55:43,WSH
2013,Kyle Chipchura,26.0,46.0,07:25:59,PHX
2013,Kyle Clifford,22.0,48.0,08:29:06,LAK
2013,Charlie Coyle,20.0,37.0,09:17:19,MIN
2013,Raphael Diaz,27.0,23.0,07:52:47,MTL
2013,T.J. Galiardi,24.0,36.0,08:19:20,SJS
2013,Stephen Gionta,29.0,48.0,10:25:13,NJD
2013,Dan Girardi,28.0,46.0,19:29:05,NYR
2013,Boyd Gordon,29.0,48.0,12:00:32,PHX
2013,Jochen Hecht,35.0,47.0,10:43:48,BUF
2013,Patric Hörnqvist,26.0,24.0,06:29:24,NSH
2013,Olli Jokinen,34.0,45.0,12:50:43,WPG
2013,Erik Karlsson,22.0,17.0,07:41:38,OTT
